"","term","estimate","std_error","statistic","p_value","lower_ci","upper_ci"
"31","DM$developer: 22learn, LLC© 22learn, LLC",0.151,0.826,0.183,0.855,-1.468,1.77
"32","DM$developer: 24seven3D© 2011-2012 Angry Mob Games",0.741,0.826,0.898,0.369,-0.877,2.36
"33","DM$developer: 24x7digital LLC© 2009-2011 24x7digital LLC",0.044,0.541,0.082,0.935,-1.015,1.104
"34","DM$developer: 24x7digital LLC© 2010-2012 24x7digital LLC",0.016,0.548,0.029,0.977,-1.058,1.09
"35","DM$developer: 24x7digital LLC© 2012 24x7digital LLC",-0.092,0.591,-0.156,0.876,-1.25,1.066
"36","DM$developer: 2D BOY",0.096,0.562,0.171,0.864,-1.006,1.198
"37","DM$developer: 2D BOY© 2008 2D BOY",-0.433,0.525,-0.825,0.409,-1.463,0.596
"38","DM$developer: 2Easy Team",1.282,0.595,2.156,0.031,0.117,2.448
"39","DM$developer: 2K Games© (C) 2005-2011 Take-Two Interactive Software, Inc. and its subsidiaries. Developed by Firaxis Games. Sid Meier's Civilization Revolution, Civ, Civilization, 2K Games, the 2K Games logo, Firaxis Games, the Firaxis Games logo, 2K China,",0.013,0.534,0.025,0.98,-1.034,1.06
"40","DM$developer: 2K Sports© 2005-2012 Take-Two Interactive Software and its subsidiaries. All rights reserved. 2K Sports, the 2K Sports logo, and Take-Two Interactive Software are all trademarks and/or registered trademarks of Take-Two Interactive Software, In",-0.388,0.499,-0.778,0.436,-1.365,0.589
"41","DM$developer: 360buy Jingdong Mall© 360buy京东商城 版权所有",-1.622,0.521,-3.116,0.002,-2.643,-0.602
"42","DM$developer: 360mobilesafe",-1.463,0.558,-2.621,0.009,-2.557,-0.369
"43","DM$developer: 3D4Medical.com© 3D4Medical, LLC 2011",-0.499,0.562,-0.889,0.374,-1.6,0.602
"44","DM$developer: 4A Volcano Computer Tech. Co., Ltd.© 4A Volcano Computer Tech.",0.302,0.547,0.553,0.58,-0.77,1.374
"45","DM$developer: 5TH Cell Media LLC© 2012, 5TH Cell Media LLC.",-0.263,0.52,-0.505,0.614,-1.283,0.757
"46","DM$developer: 6 Wunderkinder GmbH© 2012 6 Wunderkinder GmbH",-0.306,0.591,-0.517,0.605,-1.464,0.853
"47","DM$developer: 76PLUS LLC© Beijing 76 Plus Technology Co.Ltd",0.124,0.829,0.15,0.881,-1.501,1.75
"48","DM$developer: 76PLUS LLC© Beijing 76Plus Technology Co.Ltd",0.893,0.679,1.317,0.188,-0.437,2.223
"49","DM$developer: 7th Gear© 2011, 7th Gear",-0.736,0.547,-1.344,0.179,-1.808,0.337
"50","DM$developer: 7th Gear© 2012, 7th Gear",-1.075,0.548,-1.961,0.05,-2.149,0
"51","DM$developer: 7th Gear© 7th Gear 2011",0.043,0.623,0.068,0.945,-1.178,1.263
"52","DM$developer: 9262-9518 QUEBEC INC.© DryGin Studios",-0.625,0.591,-1.058,0.29,-1.782,0.533
"53","DM$developer: A Thinking Ape, Inc.",-0.557,0.566,-0.984,0.325,-1.665,0.552
"54","DM$developer: Èü¶Ê∏Ö Áéã© 乐呵互动",-1.435,0.551,-2.606,0.009,-2.515,-0.356
"55","DM$developer: 中国建设银行股份有限公司",0.244,0.596,0.41,0.681,-0.923,1.412
"56","DM$developer: 中国工商银行股份有限公司",-0.796,0.719,-1.108,0.268,-2.205,0.612
"57","DM$developer: 中国移动通信集团公司",-0.647,0.596,-1.085,0.278,-1.816,0.522
"58","DM$developer: 布卡漫画",0.689,0.595,1.158,0.247,-0.477,1.855
"59","DM$developer: ÂÅ•Áøî Âæê© 2012 LONFUN",-0.96,0.513,-1.872,0.061,-1.965,0.045
"60","DM$developer: 哔哩哔哩弹幕网",0.858,0.595,1.442,0.149,-0.308,2.024
"61","DM$developer: 天猫无线",-0.631,0.598,-1.055,0.291,-1.804,0.541
"62","DM$developer: 多看科技",0.046,0.594,0.077,0.939,-1.119,1.21
"63","DM$developer: 多玩游戏",-0.044,0.665,-0.067,0.947,-1.347,1.259
"64","DM$developer: 凤凰网",-0.305,0.62,-0.493,0.622,-1.52,0.909
"65","DM$developer: 广州天趣网络科技有限公司",-0.062,0.617,-0.1,0.92,-1.271,1.147
"66","DM$developer: Aaron Ray© 2012 Aaron Ray",-2.819,0.551,-5.113,0,-3.899,-1.738
"67","DM$developer: ABCya.com, LLC© ABCya.com LLC",0.122,0.83,0.147,0.883,-1.505,1.75
"68","DM$developer: ABCya.com, LLC© Copyright 2010 ABCya.com LLC",-0.821,0.549,-1.495,0.135,-1.898,0.255
"69","DM$developer: Accuweather.com",0.688,0.57,1.206,0.228,-0.43,1.805
"70","DM$developer: Ace Viral",0.661,0.588,1.124,0.261,-0.492,1.814
"71","DM$developer: AceViral.com LTD© AceViral.com LTD",-0.71,0.511,-1.388,0.165,-1.711,0.292
"72","DM$developer: Activision Publishing, Inc.© 2012 Activision Publishing, Inc.",-0.163,0.486,-0.336,0.737,-1.117,0.79
"73","DM$developer: Activision Publishing, Inc.© Activision Publishing, Inc.",-0.523,0.512,-1.023,0.306,-1.526,0.48
"74","DM$developer: Adam Wu© 2012 ImaginationUnlimited Studio",0.436,0.553,0.788,0.431,-0.648,1.519
"75","DM$developer: adams02113",0.621,0.589,1.054,0.292,-0.533,1.775
"76","DM$developer: Adobe Systems",-0.754,0.558,-1.351,0.177,-1.848,0.34
"77","DM$developer: Adobe Systems, Inc.© 1993-2012 Adobe Systems Incorporated and its licensors",-1.188,0.509,-2.334,0.02,-2.186,-0.19
"78","DM$developer: Adobe Systems, Inc.©Adobe Systems Incorporated 2012. All Rights Reserved.",0.063,0.512,0.123,0.902,-0.94,1.066
"79","DM$developer: Advanced Tiny Lab",0.563,0.589,0.957,0.339,-0.591,1.718
"80","DM$developer: AE-Mobile",1.021,0.589,1.733,0.083,-0.134,2.177
"81","DM$developer: 无线淘宝",-1.525,0.718,-2.123,0.034,-2.933,-0.117
"82","DM$developer: AE Mobile Inc.© 2010 AE-Mobile",-0.845,0.543,-1.556,0.12,-1.909,0.219
"83","DM$developer: 我查查信息技术（上海）有限公司",-2.291,0.619,-3.699,0,-3.505,-1.077
"84","DM$developer: 春田花花啊",-0.761,0.594,-1.282,0.2,-1.925,0.403
"85","DM$developer: 昌威 胡© 2011 Flion Hu",0.017,0.563,0.03,0.976,-1.087,1.121
"86","DM$developer: 明 张© Zhangming Ltd.",-0.997,0.615,-1.621,0.105,-2.203,0.209
"87","DM$developer: 招商银行",-1.233,0.596,-2.068,0.039,-2.401,-0.064
"88","DM$developer: 欧朋",-0.01,0.605,-0.017,0.987,-1.195,1.175
"89","DM$developer: 海豚浏览器",0.502,0.618,0.813,0.416,-0.709,1.713
"90","DM$developer: 深圳快播科技有限公司",-2.343,0.616,-3.804,0,-3.551,-1.136
"91","DM$developer: 携程旅行网",-0.317,0.598,-0.529,0.597,-1.489,0.855
"92","DM$developer: 搜狐视频",0.733,0.667,1.099,0.272,-0.574,2.04
"93","DM$developer: Agencies of Change, LLC© 2011 Pizza Hut",0.202,0.624,0.324,0.746,-1.02,1.424
"94","DM$developer: AGRICULTURAL BANK OF CHINA LIMITED© AGRICULTURAL BANK OF CHINA",-0.538,0.548,-0.982,0.326,-1.613,0.536
"95","DM$developer: AI Factory Limited",1.263,0.589,2.143,0.032,0.108,2.419
"96","DM$developer: Aidem Systems Inc.",-0.627,0.589,-1.064,0.287,-1.783,0.528
"97","DM$developer: Air China Limited© 2010 Air China Limited",-0.042,0.551,-0.076,0.94,-1.122,1.039
"98","DM$developer: alaina",-0.532,0.59,-0.901,0.367,-1.689,0.625
"99","DM$developer: Alarm Clock Company© Alarm Clock Company",-0.688,0.518,-1.327,0.184,-1.704,0.328
"100","DM$developer: Alawar Entertainment, Inc© Published by Alawar Entertainment, Inc. Developed by Alawar Friday's Games.",-0.567,0.499,-1.136,0.256,-1.545,0.411
"101","DM$developer: Alawar Entertainment, Inc© Published by Alawar Entertainment, Inc. Developed by Alawar Melesta",0.188,0.551,0.341,0.733,-0.891,1.267
"102","DM$developer: Alawar Entertainment, Inc© Published by Alawar Entertainment, Inc. Developed by Alawar Melesta.",0.274,0.541,0.507,0.612,-0.786,1.334
"103","DM$developer: Alexander Oreshko© 2012 codefreeze",-0.841,0.825,-1.019,0.308,-2.458,0.776
"104","DM$developer: Alfadevs Inc.© Alfadevs",-0.252,0.54,-0.467,0.64,-1.311,0.806
"105","DM$developer: algoriddim GmbH© 2006-2012 algoriddim GmbH",-0.618,0.514,-1.203,0.229,-1.625,0.389
"106","DM$developer: Alibaba (China) Technology CO.LTD© Alibaba (China) Technology CO.LTD (1999 - 2012)",0.628,0.549,1.144,0.253,-0.449,1.705
"107","DM$developer: Alipay.com Co.,Ltd© 2004-2012 ALIPAY.COM",-1.065,0.548,-1.942,0.052,-2.14,0.01
"108","DM$developer: Alipay.com Co.,Ltd© Alipay",-2.204,0.549,-4.018,0,-3.28,-1.129
"109","DM$developer: All Recipes© 2011 AllRecipes, Inc.",-0.414,0.56,-0.74,0.459,-1.512,0.683
"110","DM$developer: Amanita Design s.r.o© 2011 Amanita Design",-0.57,0.502,-1.136,0.256,-1.553,0.413
"111","DM$developer: Amazing Game",0.156,0.59,0.265,0.791,-1,1.312
"112","DM$developer: Amazon Mobile LLC",1.673,0.598,2.798,0.005,0.501,2.845
"113","DM$developer: Amazon Mobile© 2011 Beijing Century Joyo Courier Service Co., Ltd.",-1.663,0.55,-3.025,0.002,-2.741,-0.585
"114","DM$developer: Ambient Design Ltd.© 2011 Ambient Design Ltd.",-0.954,0.517,-1.845,0.065,-1.967,0.059
"115","DM$developer: AMZN Mobile LLC© 2009-2012 Amazon.com, Inc. or its Affiliates.",-0.148,0.548,-0.271,0.787,-1.223,0.926
"116","DM$developer: AMZN Mobile LLC© 2012 AMZN Mobile LLC",-1.988,0.522,-3.81,0,-3.011,-0.965
"117","DM$developer: AnchorFree Inc.© AnchorFree, Inc.",0.078,0.831,0.094,0.925,-1.551,1.706
"118","DM$developer: Andreas Illiger© 2011 Andreas Illiger",-1.203,0.497,-2.418,0.016,-2.177,-0.228
"119","DM$developer: Andreas Illiger© 2012 Andreas Illiger",-1.161,0.495,-2.344,0.019,-2.131,-0.19
"120","DM$developer: android_fans",-1.638,0.59,-2.779,0.005,-2.794,-0.483
"121","DM$developer: androidesk",-1.107,0.863,-1.283,0.199,-2.798,0.584
