"","term","estimate","std_error","statistic","p_value","lower_ci","upper_ci"
"1641","DM$developer: Shengting Information Technology (Shanghai)Co.,Ltd.© 盛大文学",-0.554,0.527,-1.052,0.293,-1.587,0.479
"1642","DM$developer: SHENZHEN AOTIAN NEW INFORMATION TECHNOLOGY Co.Ltd.© 2012 Beijing Aotian Huijin Science and Technology Co., Ltd.",-1.14,0.531,-2.147,0.032,-2.181,-0.099
"1643","DM$developer: Shenzhen Duoping Electronics Co., Ltd.© Shenzhen Duoping Electronics Co., Ltd.",-0.254,0.621,-0.41,0.682,-1.472,0.963
"1644","DM$developer: Shenzhen Flying & Interaction Entertainment Technology Co., Ltd.© 2012 Shenzhen Flying & Interaction Entertainment Technology Co., Ltd.",-1.018,0.551,-1.848,0.065,-2.098,0.062
"1645","DM$developer: ShenZhen Guo Ling Telecommunications limited Company© Rizhi Network Co.,Limited. All Rights Reserved",-1.443,0.541,-2.668,0.008,-2.502,-0.383
"1646","DM$developer: Shenzhen Mengzhiduo Information Technology Co.,LTD.Copyright © 2012 MZD. All rights reserved.",-0.076,0.572,-0.133,0.894,-1.198,1.046
"1647","DM$developer: Shenzhen Paopao Technology Co., Ltd© 2012 Popsoft Inc.",-1.551,0.548,-2.829,0.005,-2.626,-0.476
"1648","DM$developer: Shenzhen QVOD Technology Co.,Ltd© 深圳市快播科技有限公司",-0.949,0.509,-1.863,0.062,-1.948,0.049
"1649","DM$developer: Shenzhen TeamTop3 Communication Technology Co.,Ltd© TeamTop3",-2.137,0.492,-4.344,0,-3.102,-1.173
"1650","DM$developer: Shenzhen TeamTop3 Communication Technology Co.,Ltd© TeamTop3 Inc.",-2.31,0.501,-4.615,0,-3.291,-1.329
"1651","DM$developer: Shenzhen Tencent Computer Systems Company Limited© 2011 Tencent Inc.",-0.387,0.615,-0.63,0.529,-1.593,0.819
"1652","DM$developer: Shenzhen Tencent Computer Systems Company Limited© 2012 Tencent Inc",-2.599,0.511,-5.084,0,-3.601,-1.597
"1653","DM$developer: Shenzhen Tencent Computer Systems Company Limited© Copyright(C) 1998-2012 TENCENT Inc. All rights reserved.",0.096,0.506,0.189,0.85,-0.895,1.087
"1654","DM$developer: Shenzhen Tencent Computer Systems Company Limited© Tencent Inc. 1998-2012",-0.737,0.485,-1.52,0.129,-1.687,0.214
"1655","DM$developer: Shenzhen Thinksky Technology Co.,Ltd© 2012 Shenzhen Thinksky Technology Co.,Ltd",-0.952,0.55,-1.732,0.083,-2.029,0.125
"1656","DM$developer: ShenZhen UXIN Network Technology limited CompanyShenZhen UXIN Network Technology limited Company © 2011 ShenZhen UXIN Network Technology limited Company.All Rights Reserved",0.007,0.521,0.013,0.99,-1.014,1.027
"1657","DM$developer: Shenzhen WangZhi technology Co., LTD©2012 Shenzhen WangZhi technology Co., LTD",-1.84,0.526,-3.499,0,-2.871,-0.809
"1658","DM$developer: Shi Ji Wen Kang (Beijing) Ltd© 寻医问药",-2.271,0.551,-4.124,0,-3.35,-1.192
"1659","DM$developer: Shi Jia© OctInn",-0.962,0.548,-1.755,0.079,-2.037,0.112
"1660","DM$developer: SHI YIFAN© 北京神奇时代网络有限公司",-3.194,0.5,-6.382,0,-4.175,-2.213
"1661","DM$developer: Shiny Interactive Entertainment Co., Ltd.© play800.cn",-2.635,0.523,-5.039,0,-3.659,-1.61
"1662","DM$developer: Shucai Deng© 2012 Cai Inc.",-0.102,0.524,-0.195,0.846,-1.129,0.925
"1663","DM$developer: Shucai Deng© 2012 feixue Inc.",-0.122,0.552,-0.221,0.825,-1.205,0.961
"1664","DM$developer: Silvio Rizzi© 2012 Silvio Rizzi",-0.276,0.533,-0.517,0.605,-1.321,0.769
"1665","DM$developer: Simply Game",-1.312,0.59,-2.225,0.026,-2.468,-0.157
"1666","DM$developer: SimSimi Inc.© SimSimi Inc.",0.013,0.531,0.024,0.981,-1.028,1.053
"1667","DM$developer: SINA Corporation (Nasdaq: SINA)© sina",-0.626,0.561,-1.117,0.264,-1.725,0.473
"1668","DM$developer: SINA Corporation (Nasdaq: SINA)© Sina",-1.307,0.572,-2.284,0.022,-2.429,-0.185
"1669","DM$developer: SINA Corporation (Nasdaq: SINA)© SINA",-0.108,0.551,-0.197,0.844,-1.188,0.971
"1670","DM$developer: SINA Corporation (Nasdaq: SINA)© SINA Corporation",-0.193,0.518,-0.373,0.709,-1.208,0.821
"1671","DM$developer: SINA Corporation (Nasdaq: SINA)© SINA Corporation (Nasdaq: SINA)",-0.936,0.551,-1.699,0.089,-2.016,0.144
"1672","DM$developer: Sina.com",-0.682,0.557,-1.225,0.221,-1.774,0.409
"1673","DM$developer: Singapore Press Holdings© Singapore Press Holdings",-1.28,0.55,-2.325,0.02,-2.359,-0.201
"1674","DM$developer: Siu Pok© Cocopok",-0.556,0.518,-1.075,0.282,-1.571,0.458
"1675","DM$developer: Six to Start",0.191,0.588,0.325,0.745,-0.961,1.344
"1676","DM$developer: SixAxis LLC© SixAxis LLC",-0.922,0.591,-1.56,0.119,-2.08,0.236
"1677","DM$developer: Sixjoy Hong Kong Limited© 2012 Tencent Games",-0.855,0.493,-1.735,0.083,-1.821,0.111
"1678","DM$developer: Sixjoy Hong Kong Limited© 腾讯",0.022,0.675,0.032,0.974,-1.301,1.345
"1679","DM$developer: siyuan He© 2012 Ricky He",0.099,0.83,0.119,0.906,-1.528,1.725
"1680","DM$developer: Sky Carpenter Digital Entertainment co. ltd© Sky Carpenter Digital Entertainment co., ltd",-0.313,0.523,-0.599,0.55,-1.339,0.712
"1681","DM$developer: Sky Carpenter Digital Entertainment co., ltd",0.918,0.714,1.287,0.198,-0.48,2.317
"1682","DM$developer: Sky Map Devs",0.501,0.567,0.884,0.377,-0.61,1.612
"1683","DM$developer: Skype",-2.01,0.596,-3.37,0.001,-3.178,-0.841
"1684","DM$developer: Skype Communications S.a.r.l© (c) 2003 - 2012 Skype Limited, Patents Pending. Skype, associated trade marks and logos and the ""S"" symbol are trade marks of Skype Limited",-2.226,0.518,-4.299,0,-3.241,-1.211
"1685","DM$developer: Skype S.a.r.l.© (c) 2003 - 2012 Skype Limited, Patents Pending. Skype, associated trade marks and logos and the ""S"" symbol are trade marks of Skype Limited",-0.178,0.528,-0.337,0.736,-1.214,0.857
"1686","DM$developer: SkyVu Entertainment",1.568,0.589,2.665,0.008,0.415,2.722
"1687","DM$developer: SleepSoft LLC©2009-2012 by SleepSoft LLC",0.056,0.561,0.099,0.921,-1.043,1.154
"1688","DM$developer: Sling Media Inc.",0.636,0.567,1.122,0.262,-0.475,1.747
"1689","DM$developer: Sling Media© 2012 Sling Media",-0.366,0.505,-0.724,0.469,-1.356,0.624
"1690","DM$developer: SmartTeam",-0.789,0.59,-1.338,0.181,-1.945,0.367
"1691","DM$developer: SMS Services O.o.o.© DaSuppaStudios Ltd. Published by i-Free",-0.384,0.584,-0.657,0.511,-1.529,0.762
"1692","DM$developer: SmugMug© SmugMug Inc.",-0.15,0.552,-0.272,0.786,-1.232,0.932
"1693","DM$developer: Smule",1.618,0.572,2.831,0.005,0.498,2.738
"1694","DM$developer: Smule, Inc.© 2010-2012 Smule, Inc.",-0.59,0.519,-1.137,0.256,-1.608,0.427
"1695","DM$developer: Smule, Inc.© 2012 Smule Inc",-0.063,0.512,-0.123,0.902,-1.067,0.941
"1696","DM$developer: Snapchat, Inc",-0.785,0.595,-1.318,0.188,-1.952,0.382
"1697","DM$developer: Snapchat, Inc.© Snapchat, Inc.",-3.111,0.551,-5.642,0,-4.192,-2.03
"1698","DM$developer: Sniper Forces",0.948,0.59,1.608,0.108,-0.208,2.104
"1699","DM$developer: SNK PLAYMORE",1.85,0.592,3.128,0.002,0.691,3.01
"1700","DM$developer: SNK PLAYMORE© ""METAL SLUG 3"" is a registered trademark of SNK PLAYMORE CORPORATION.",-0.396,0.543,-0.73,0.465,-1.461,0.668
"1701","DM$developer: SNK PLAYMORE© ""THE KING OF FIGHTERS"" is a registered trademark of SNK PLAYMORE CORPORATION.",-0.544,0.495,-1.1,0.271,-1.515,0.426
"1702","DM$developer: Snsgame Global Limited© The Playforge",0.086,0.564,0.152,0.879,-1.02,1.192
"1703","DM$developer: Socialin Inc.© Socialin Inc.",-0.372,0.551,-0.676,0.499,-1.452,0.707
"1704","DM$developer: Socosoft",0.363,0.588,0.618,0.537,-0.79,1.517
"1705","DM$developer: SOFTSTAR ENTERTAINMENT INC.© 2012 SOFTSTAR ENTERTAINMENT INC.",-0.125,0.496,-0.252,0.801,-1.098,0.848
"1706","DM$developer: SOFTSTAR ENTERTAINMENT INC.© Softstar Entertainment Inc",-0.296,0.491,-0.604,0.546,-1.258,0.666
"1707","DM$developer: Software Garden, Inc.© 2011 Software Garden, Inc.",-0.305,0.536,-0.569,0.569,-1.357,0.746
"1708","DM$developer: Sogou.com Inc.",-2.895,0.595,-4.862,0,-4.062,-1.728
"1709","DM$developer: Sohu.com Inc. (NASDAQ: SOHU)© sohu.com inc",-0.609,0.517,-1.177,0.239,-1.622,0.405
"1710","DM$developer: Sohu.com Inc. (NASDAQ: SOHU)© Sohu.com Inc.",-0.93,0.551,-1.689,0.091,-2.009,0.149
"1711","DM$developer: songming shu© 北京手游天下数字娱乐科技有限公司",0.66,0.549,1.203,0.229,-0.415,1.736
"1712","DM$developer: Songza",1.048,0.638,1.642,0.101,-0.203,2.299
"1713","DM$developer: Sonico GmbH© 2012, Sonico GmbH",-0.318,0.514,-0.618,0.537,-1.326,0.69
"1714","DM$developer: Sony Mobile Communications",1.065,0.598,1.781,0.075,-0.107,2.237
"1715","DM$developer: SoundCloud Ltd© 2012 SoundCloud Ltd.",-0.231,0.551,-0.419,0.676,-1.311,0.849
"1716","DM$developer: SoundHound, Inc.© 2012 SoundHound Inc.",-0.302,0.552,-0.548,0.584,-1.383,0.779
"1717","DM$developer: Spacetime Studios",1.563,0.857,1.824,0.068,-0.117,3.243
"1718","DM$developer: Spacetime Studios, LLC© 2012, Spacetime Studios, Inc.",-0.126,0.565,-0.223,0.824,-1.234,0.982
"1719","DM$developer: Spotify Ltd.",-0.027,0.621,-0.043,0.966,-1.243,1.189
"1720","DM$developer: Spotify© 2008-2010 Spotify Ltd.",-1.471,0.523,-2.813,0.005,-2.496,-0.446
"1721","DM$developer: SQUARE ENIX Co., Ltd.© 1991,2012 SQUARE ENIX CO.,LTD. All Rights Reserved. ILLUSTRATION : 1991,2012 YOSHITAKA AMANO",-0.324,0.49,-0.661,0.508,-1.285,0.637
"1722","DM$developer: SQUARE ENIX Co., Ltd.© 2012 SQUARE ENIX CO.,LTD. All Rights Reserved. Developed by indieszero Co.,Ltd.",-0.029,0.826,-0.035,0.972,-1.647,1.589
"1723","DM$developer: SQUARE ENIX Co.,Ltd.",-0.327,0.563,-0.58,0.562,-1.43,0.777
"1724","DM$developer: SQUARE ENIX Ltd©2012 Square Enix Ltd. SQUARE ENIX is a registered trademark or trademark of the Square Enix Group.",-2.171,0.501,-4.333,0,-3.153,-1.189
"1725","DM$developer: SquarePoet, Inc.© 2012 squarepoet, inc.",0.138,0.527,0.261,0.794,-0.896,1.171
"1726","DM$developer: star power culture media (beijing) co. ltd.© Star Power Culture Media(Beijing) Co., Ltd.",0.121,0.831,0.145,0.884,-1.507,1.749
"1727","DM$developer: Starbucks Coffee Company© 2012 Starbucks Coffee Company",-1.218,0.551,-2.211,0.027,-2.299,-0.138
"1728","DM$developer: Starfall Education, LLC© 2010 Starfall Education",-0.464,0.527,-0.882,0.378,-1.496,0.568
"1729","DM$developer: Steven Mesko© 2012 AccuWeather, Inc",0.151,0.519,0.29,0.772,-0.867,1.168
"1730","DM$developer: Storm8 Games",0.728,0.561,1.298,0.194,-0.372,1.827
"1731","DM$developer: StuckPixel, Inc.© StuckPixel, Inc.",-0.309,0.52,-0.594,0.553,-1.327,0.71
"1732","DM$developer: Subatomic Studios, LLC© 2012 Subatomic Studios, LLC",-0.616,0.495,-1.244,0.214,-1.587,0.355
"1733","DM$developer: Subatomic Studios, LLC© Subatomic Studios, LLC",-0.571,0.487,-1.172,0.241,-1.526,0.384
"1734","DM$developer: Sun Ground Co., Ltd.© Sun Ground",-0.025,0.826,-0.031,0.976,-1.644,1.593
"1735","DM$developer: Sun Xun© 精灵在线网络技术（北京）有限公司",0.361,0.535,0.676,0.499,-0.687,1.41
"1736","DM$developer: Sun Xun© SEQUELMEDIA",-1.245,0.543,-2.293,0.022,-2.31,-0.181
"1737","DM$developer: Suning Appliance Co., Ltd.© 苏宁电器股份有限公司",-0.85,0.574,-1.481,0.139,-1.974,0.275
"1738","DM$developer: Sunstorm Interactive© 2012 Sunstorm Interactive Inc.",-0.147,0.497,-0.295,0.768,-1.12,0.827
"1739","DM$developer: Supercell Oy© 2012 Supercell",-2.232,0.487,-4.586,0,-3.186,-1.278
"1740","DM$developer: Surpax Technology Inc.© 2012 Surpax Technology Inc.",-1.268,0.548,-2.313,0.021,-2.343,-0.194
"1741","DM$developer: Suzhou Hiker Technology Co., Ltd.© 苏州海客科技有限公司",-1.187,0.832,-1.428,0.153,-2.817,0.443
"1742","DM$developer: Suzhou Tong Cheng Tourism Network Science & Technology Co.,LTD© 2012 Tongcheng Network Technology Co., Ltd.",-2.394,0.574,-4.17,0,-3.519,-1.269
"1743","DM$developer: SwiftKey",-1.011,0.554,-1.823,0.068,-2.098,0.076
"1744","DM$developer: TabTale LTD© TabTale LTD",-0.511,0.501,-1.021,0.307,-1.493,0.47
"1745","DM$developer: Tai Wang© 2012 Yuelian Inc.",-1.846,0.575,-3.21,0.001,-2.974,-0.719
"1746","DM$developer: Talentwalker Interactive Co.,Ltd.© 北京太能沃可网络科技有限公司",-2.457,0.511,-4.812,0,-3.458,-1.456
"1747","DM$developer: TALKME.IM, INC© 2010-2012 TalkMe.IM, Inc",0.043,0.519,0.083,0.934,-0.974,1.061
"1748","DM$developer: tang jiaping© web2mi.com",-1.329,0.502,-2.648,0.008,-2.312,-0.345
"1749","DM$developer: TANG YUANCHENG© 2012 AICAI",-3.404,0.548,-6.209,0,-4.478,-2.329
"1750","DM$developer: TangoMe, Inc.© 2012, TangoMe, Inc.",-0.911,0.622,-1.465,0.143,-2.13,0.308
"1751","DM$developer: Tangram Technology Ltd.© 天津唐图科技有限公司",-0.512,0.565,-0.906,0.365,-1.619,0.595
"1752","DM$developer: Tania Sulimov© Piksoft 2012",-1.209,0.561,-2.155,0.031,-2.308,-0.109
"1753","DM$developer: tao chen© 边锋网络技术有限公司",-0.375,0.502,-0.748,0.454,-1.359,0.608
"1754","DM$developer: tao sui© TOP Studio",-2.039,0.511,-3.987,0,-3.041,-1.037
"1755","DM$developer: tao sui© TOPStudio",-2.056,0.512,-4.018,0,-3.059,-1.053
"1756","DM$developer: Tao Sui© TOPStudio",-2.099,0.511,-4.107,0,-3.1,-1.097
"1757","DM$developer: Taobao (China) Software CO.,LTD© 2011 淘宝（中国）软件有限公司",-0.141,0.549,-0.256,0.798,-1.217,0.936
"1758","DM$developer: Taobao (China) Software CO.,LTD© 2012 一淘网",-0.219,0.551,-0.397,0.692,-1.298,0.861
"1759","DM$developer: Taobao (China) Software CO.,LTD© 2012 阿里巴巴（中国）有限公司",-1.684,0.526,-3.202,0.001,-2.715,-0.653
"1760","DM$developer: Taobao (China) Software CO.,LTD© 2012淘宝(中国)软件有限公司",-0.174,0.625,-0.279,0.78,-1.399,1.05
"1761","DM$developer: tap tap tap LLC© tap tap tap",-0.717,0.504,-1.424,0.155,-1.705,0.27
"1762","DM$developer: tap tap tap LLC© tap tap tap / MacHeist",0.943,0.542,1.74,0.082,-0.12,2.006
"1763","DM$developer: Tap Tim© 2012 Tap Tim",-0.229,0.531,-0.432,0.666,-1.27,0.812
"1764","DM$developer: Tapbots© 2011-2012 Tapbots LLC",0.183,0.55,0.332,0.74,-0.895,1.26
"1765","DM$developer: TapMedia Ltd© TapMedia Ltd",-2.107,0.547,-3.849,0,-3.18,-1.034
"1766","DM$developer: Tapulous",1.354,0.568,2.384,0.017,0.241,2.467
"1767","DM$developer: Tapulous, Inc.© 2012 Tapulous, Inc.",0.195,0.507,0.384,0.701,-0.8,1.189
"1768","DM$developer: Tapulous, Inc.© Tapulous, Inc.",0.392,0.511,0.767,0.443,-0.609,1.393
"1769","DM$developer: Target© Target Corporation",-0.37,0.551,-0.672,0.501,-1.449,0.709
"1770","DM$developer: Tarun Chauhan© WebTechies IT Services Pvt. Ltd.",-0.593,0.522,-1.135,0.256,-1.617,0.431
"1771","DM$developer: Tatem Games, private company© 2012 Tatem Games, Action Forms Ltd.",0.38,0.506,0.752,0.452,-0.611,1.371
"1772","DM$developer: tatsumi denshi kogyo© TATSUMI",0.856,0.624,1.372,0.17,-0.367,2.079
"1773","DM$developer: Team17 Software, Limited© Team17 Software Ltd",0.164,0.524,0.312,0.755,-0.864,1.191
"1774","DM$developer: TeamLava",1.889,0.616,3.069,0.002,0.682,3.095
"1775","DM$developer: TeamLava Games",0.658,0.538,1.223,0.221,-0.397,1.712
"1776","DM$developer: TeamLava, LLC© 2010 TeamLava LLC",0.144,0.542,0.266,0.79,-0.919,1.207
"1777","DM$developer: TeamLava, LLC© 2011 TeamLava, LLC",-1.137,0.494,-2.3,0.021,-2.107,-0.168
"1778","DM$developer: TeamLava, LLC© 2012 TeamLava LLC",-0.54,0.483,-1.118,0.264,-1.486,0.406
"1779","DM$developer: TeamLava, LLC© 2012 TeamLava, LLC.",-0.323,0.826,-0.39,0.696,-1.942,1.297
"1780","DM$developer: TeamLava, LLC© 2013 TeamLava LLC",-0.144,0.619,-0.232,0.816,-1.357,1.069
"1781","DM$developer: TED Conferences",-0.199,0.588,-0.338,0.735,-1.351,0.953
"1782","DM$developer: TED Conferences© 2010 TED Conferences, LLC",-0.783,0.548,-1.428,0.153,-1.858,0.292
"1783","DM$developer: Telltale Games© 2012 Telltale, Inc. THE WALKING DEAD is © 2012 Robert Kirkman, LLC. Based on the Comic Book by Robert Kirkman, Tony Moore and Charlie Adlard. Telltale and the Telltale Games logo are trademarks of Telltale, Inc. All rights res",-0.504,0.49,-1.027,0.304,-1.465,0.457
"1784","DM$developer: Tencent Technology (Shanghai) Co., Ltd© 2012 Tencent Games",-1.441,0.511,-2.817,0.005,-2.443,-0.438
"1785","DM$developer: Tencent Technology (Shanghai) Co., Ltd© 2012 Tencent Inc.",-0.821,0.542,-1.514,0.13,-1.883,0.242
"1786","DM$developer: Tencent Technology (Shanghai) Co., Ltd© 腾讯",-0.383,0.517,-0.74,0.459,-1.397,0.631
"1787","DM$developer: Tencent Technology (Shenzhen) Company Limited© 1998-2012 Tencent Inc.",0.053,0.547,0.097,0.923,-1.02,1.126
"1788","DM$developer: Tencent Technology (Shenzhen) Company Limited© 2011 - 2012 Tencent Inc. All Rights Reserved.",-0.466,0.571,-0.815,0.415,-1.585,0.654
"1789","DM$developer: Tencent Technology (Shenzhen) Company Limited© 2012 Tencent Inc.",-0.379,0.505,-0.751,0.452,-1.369,0.611
"1790","DM$developer: Tencent Technology (Shenzhen) Company Limited© 腾讯科技",-0.277,0.518,-0.535,0.593,-1.293,0.739
"1791","DM$developer: Tencent Technology (Shenzhen) Company Limited© Tencent 2011",-0.353,0.542,-0.651,0.515,-1.415,0.709
"1792","DM$developer: Tencent Technology (Shenzhen) Company Limited© Tencent 2012",-0.678,0.516,-1.313,0.189,-1.69,0.334
"1793","DM$developer: Tencent Technology (Shenzhen) Company Limited© Tencent Inc.",-0.555,0.485,-1.143,0.253,-1.506,0.397
"1794","DM$developer: Tencent Technology (Shenzhen) Company Limited© Tencent Technology(Shenzhen) Company Limited",-0.619,0.535,-1.158,0.247,-1.667,0.429
"1795","DM$developer: Tencent Technology (Shenzhen) Company Limited© Tencent.inc",-0.721,0.518,-1.391,0.164,-1.736,0.295
"1796","DM$developer: Tencent Technology (Shenzhen) Company LimitedCopyright © 1998 - 2012 Tencent Inc. All Rights Reserved",-2.317,0.549,-4.219,0,-3.394,-1.241
"1797","DM$developer: Tencent Technology (Shenzhen) Company LimitedCopyright © 2009 - 2012 Tencent Inc. All Rights Reserved",-0.243,0.55,-0.442,0.659,-1.32,0.834
"1798","DM$developer: Tencent Technology (Shenzhen) Company Limitedcopyright©2008-2012 Tencent All Rights Reserved",1.045,0.549,1.902,0.057,-0.032,2.122
"1799","DM$developer: Tencent Technology (Shenzhen) Company Ltd.",-0.843,0.542,-1.557,0.119,-1.905,0.218
"1800","DM$developer: Terminal Eleven LLC© 2010-2012 Terminal Eleven LLC.",-0.081,0.571,-0.141,0.888,-1.201,1.039
"1801","DM$developer: TerranDroid",0.249,0.552,0.452,0.651,-0.832,1.331
"1802","DM$developer: TetrisMobile.com",-1.171,0.59,-1.985,0.047,-2.327,-0.014
"1803","DM$developer: textPlus",0.456,0.567,0.803,0.422,-0.656,1.568
"1804","DM$developer: textPlus, Inc.© textPlus, Inc.",0.216,0.502,0.429,0.668,-0.769,1.2
"1805","DM$developer: The Binary Mill",1.046,0.591,1.771,0.077,-0.112,2.204
"1806","DM$developer: The Economist Newspaper Group Inc.Copyright © The Economist Newspaper Limited 2011",-2.289,0.552,-4.146,0,-3.371,-1.207
"1807","DM$developer: The Empire Group LLC© 2012 Empire Apps Free",-1.611,0.55,-2.932,0.003,-2.688,-0.534
"1808","DM$developer: The Omni Group© 2008-2012 The Omni Group",-1.451,0.531,-2.731,0.006,-2.492,-0.41
"1809","DM$developer: The Omni Group© 2010-2012 The Omni Group",-1.608,0.517,-3.109,0.002,-2.622,-0.594
"1810","DM$developer: The Weather Channel",-0.973,0.598,-1.627,0.104,-2.145,0.199
"1811","DM$developer: The Weather Channel© 2010-2012, The Weather Channel, LLC",-3.647,0.624,-5.848,0,-4.869,-2.424
"1812","DM$developer: The Weather ChannelCopyright © 1995-2012, The Weather Channel, LLC",-1.656,0.55,-3.008,0.003,-2.735,-0.577
"1813","DM$developer: Thinknao Software Limited© thinknao software limited",-0.262,0.542,-0.483,0.629,-1.323,0.8
"1814","DM$developer: ThinkTime Creations LLC© ThinkTime Creations LLC",-0.97,0.575,-1.688,0.091,-2.097,0.156
"1815","DM$developer: Thomas Huntington© 2010 Thomas Huntington",0.048,0.571,0.084,0.933,-1.071,1.167
"1816","DM$developer: THUP Games LLC© THUP Games, LLC",-1.274,0.492,-2.588,0.01,-2.239,-0.309
"1817","DM$developer: Tian Tian Tai Mei Net Tech (Bei Jing) Lt.d© 天天太美网络科技（北京）有限公司",0.684,0.553,1.238,0.216,-0.399,1.767
"1818","DM$developer: Tianjia (Shanghai) Information Technology Co, LTD.© Tianjia Shanghai Information Technology Co, Ltd.",-1.087,0.834,-1.303,0.193,-2.722,0.548
"1819","DM$developer: Tianjin Mammoth© KONGZHONG CORPORATION",-1.295,0.674,-1.92,0.055,-2.616,0.027
"1820","DM$developer: Tianjin Qisi Technology Company LimitedBeijing Qihoo Technology Co Ltd Copyright © 2005-2012 360 All Rights Reserved",-0.085,0.541,-0.158,0.875,-1.145,0.975
"1821","DM$developer: Tianyi Li© 2010-2011 PhoneIsFriend.com",0.198,0.551,0.359,0.719,-0.882,1.277
"1822","DM$developer: Tianyi Li© 2011 PhoneIsFriend.com",0.497,0.55,0.905,0.366,-0.58,1.575
"1823","DM$developer: Time Base Technology Limited© 2011 Time Base Technology Limited",-0.703,0.591,-1.19,0.234,-1.862,0.456
"1824","DM$developer: Ting Wang© Supertintin",-0.131,0.624,-0.21,0.834,-1.355,1.092
"1825","DM$developer: Tiny Piece Co., Ltd© 2011 Tiny Piece Co., Ltd",-0.202,0.543,-0.373,0.709,-1.266,0.861
"1826","DM$developer: Tiny Piece Co., Ltd© Tiny Piece Co., Ltd",-0.425,0.529,-0.804,0.422,-1.462,0.612
"1827","DM$developer: TinyCo",0.742,0.541,1.371,0.17,-0.318,1.802
"1828","DM$developer: TinyCo, Inc.© 2011 TinyCo",-0.231,0.511,-0.451,0.652,-1.232,0.771
"1829","DM$developer: TinyCo, Inc.© TinyCo",-0.047,0.489,-0.096,0.924,-1.006,0.912
"1830","DM$developer: TipCat Interactive Inc.© 上海沙舟信息科技有限公司",-2.271,0.512,-4.439,0,-3.274,-1.268
"1831","DM$developer: TipCat Interactive Inc.© TipCat Interactive Inc.",-2.21,0.515,-4.289,0,-3.22,-1.2
"1832","DM$developer: Toca Boca AB© Toca Boca",-0.469,0.485,-0.966,0.334,-1.419,0.482
"1833","DM$developer: Tom Biel© 2009-2011 Imagam, Inc",-1.02,0.682,-1.494,0.135,-2.357,0.318
"1834","DM$developer: Tom Xu© Azumio Inc.",-0.885,0.509,-1.739,0.082,-1.882,0.113
"1835","DM$developer: TomTom©2008 - 2012 TomTom International B.V. All rights reserved.",-1.501,0.552,-2.719,0.007,-2.583,-0.419
"1836","DM$developer: Tong Liu© 2010 - 2011 HandyPadSoft",-0.632,0.831,-0.76,0.447,-2.26,0.997
"1837","DM$developer: Top Free Games.",-0.561,0.56,-1.003,0.316,-1.659,0.536
"1838","DM$developer: Top Free Games© Top Free Games",-0.921,0.486,-1.894,0.058,-1.874,0.032
"1839","DM$developer: TopTrip Co.Ltd© 大拇指旅行—酒店.餐厅.旅游.景点.美食.出国游.自助游",-1.37,0.682,-2.007,0.045,-2.707,-0.032
"1840","DM$developer: toriumi yutaka© 2010 FreeDragon.",0.26,0.832,0.312,0.755,-1.371,1.891
"1841","DM$developer: Touchage Inc.© 2012 TouchAge Inc.",-1.29,0.616,-2.095,0.036,-2.497,-0.083
"1842","DM$developer: towords junbros© JunBros 2011",-0.562,0.504,-1.115,0.265,-1.551,0.426
"1843","DM$developer: Trends Online Network Service Co., Ltd.© 时尚传媒集团",-1.007,0.52,-1.935,0.053,-2.027,0.013
"1844","DM$developer: Trends Online Network Service Co., Ltd.© Trends Media Group",-1.131,0.512,-2.208,0.027,-2.136,-0.127
"1845","DM$developer: TribePlay Limited© 2012 TribePlay",-1.138,0.571,-1.994,0.046,-2.257,-0.019
"1846","DM$developer: TribePlay Limited© TribePlay Ltd.",-0.953,0.513,-1.856,0.063,-1.959,0.053
"1847","DM$developer: Triniti Interactive Limited© Triniti Interactive Limited",-0.426,0.487,-0.873,0.383,-1.381,0.53
"1848","DM$developer: TripAdvisor© 2012 TripAdvisor",-0.974,0.544,-1.79,0.073,-2.04,0.092
"1849","DM$developer: TRUE AXIS PTY LTDCopyright © True Axis Pty Ltd 2012",0.142,0.553,0.257,0.797,-0.942,1.226
"1850","DM$developer: Trulia, Inc© 2012 Trulia, Inc.",-1.417,0.575,-2.465,0.014,-2.544,-0.29
"1851","DM$developer: Truth Soft Inc.© TouchChina Inc.",-0.613,0.551,-1.112,0.266,-1.693,0.467
"1852","DM$developer: TTPOD",-1.272,0.721,-1.765,0.078,-2.686,0.141
"1853","DM$developer: tumblr",1.52,1.124,1.353,0.176,-0.683,3.723
"1854","DM$developer: Tumblr",0.56,0.72,0.778,0.436,-0.851,1.971
"1855","DM$developer: Tumblr, Inc.© 2012 Tumblr, Inc.",-0.317,0.521,-0.61,0.542,-1.338,0.703
"1856","DM$developer: TuneIn",NA,NA,NA,NA,NA,NA
"1857","DM$developer: TuneIn Inc",0.801,0.72,1.112,0.266,-0.611,2.212
"1858","DM$developer: TuneIn© 2012 TuneIn",-0.083,0.505,-0.165,0.869,-1.074,0.907
"1859","DM$developer: Tuotantoyhtio Tuokio Inc© Tuokio Inc.",-0.293,0.525,-0.558,0.577,-1.322,0.736
"1860","DM$developer: Turborilla AB© 2011 Turborilla AB",-0.166,0.618,-0.268,0.788,-1.376,1.045
"1861","DM$developer: Turborilla AB© 2012 Turborilla AB",-1.981,0.524,-3.779,0,-3.009,-0.954
"1862","DM$developer: Turner Broadcasting System, Inc.™ & © Cartoon Network. (s10)",-0.1,0.526,-0.19,0.849,-1.131,0.93
